Hora,LOG M2,LOG M3
11:20:00.453,1.5609536227558388e-12,1.7077724374801805e-12
11:20:01.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:02.375,1.5609536227558388e-12,1.7077724374801805e-12
11:20:03.421,1.5609536227558388e-12,1.7077724374801805e-12
11:20:04.437,1.5609536227558388e-12,1.7077724374801805e-12
11:20:05.421,1.5609536227558388e-12,1.7077724374801805e-12
11:20:06.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:07.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:08.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:09.421,1.5609536227558388e-12,1.7077724374801805e-12
11:20:10.437,1.5609536227558388e-12,1.7077724374801805e-12
11:20:11.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:12.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:13.421,1.5609536227558388e-12,1.7077724374801805e-12
11:20:14.453,1.5609536227558388e-12,1.7077724374801805e-12
11:20:15.421,1.5609536227558388e-12,1.7077724374801805e-12
11:20:16.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:17.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:19.031,1.5609536227558388e-12,1.7077724374801805e-12
11:20:19.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:20.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:21.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:22.421,1.5609536227558388e-12,1.7077724374801805e-12
11:20:23.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:24.453,1.5609536227558388e-12,1.7077724374801805e-12
11:20:25.421,1.5609536227558388e-12,1.7077724374801805e-12
11:20:26.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:27.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:28.421,1.5609536227558388e-12,1.7077724374801805e-12
11:20:29.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:30.453,1.5609536227558388e-12,1.7077724374801805e-12
11:20:31.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:32.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:33.437,1.5609536227558388e-12,1.7077724374801805e-12
11:20:34.453,1.5609536227558388e-12,1.7077724374801805e-12
11:20:35.437,1.5609536227558388e-12,1.7077724374801805e-12
11:20:36.421,1.5609536227558388e-12,1.7077724374801805e-12
11:20:37.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:38.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:39.421,1.5609536227558388e-12,1.7077724374801805e-12
11:20:40.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:41.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:42.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:43.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:44.437,1.5609536227558388e-12,1.7077724374801805e-12
11:20:45.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:46.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:47.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:49.031,1.5609536227558388e-12,1.7077724374801805e-12
11:20:49.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:50.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:51.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:52.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:53.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:54.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:55.39,1.5609536227558388e-12,1.7077724374801805e-12
11:20:56.421,1.5609536227558388e-12,1.7077724374801805e-12
11:20:57.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:58.406,1.5609536227558388e-12,1.7077724374801805e-12
11:20:59.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:00.453,1.5609536227558388e-12,1.7077724374801805e-12
11:21:01.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:02.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:03.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:04.437,1.5609536227558388e-12,1.7077724374801805e-12
11:21:05.437,1.5609536227558388e-12,1.7077724374801805e-12
11:21:06.406,1.5609536227558388e-12,1.7077724374801805e-12
11:21:07.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:08.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:09.437,1.5609536227558388e-12,1.7077724374801805e-12
11:21:10.421,1.5609536227558388e-12,1.7077724374801805e-12
11:21:11.406,1.5609536227558388e-12,1.7077724374801805e-12
